subject,count
"Henry II, Reign of (Germany)",1
"Henry II, Reign of (Holy Roman Empire)",2
"Canute, Reign of (Great Britain)",3
"Conrad II, Reign of (Germany)",4
"Conrad II, Reign of (Holy Roman Empire)",5
Franconian House Period (Germany),6
Franconian House Period (Holy Roman Empire),7
"Mieszko II, Reign of (Poland)",8
"Henry I, Reign of (France)",9
Interregnum Period (Poland),10
"Magnus I, Reign of (Norway)",11
"Ramiro I, Reign of (Aragon)",12
"Ferdinand I, Reign of (Castile)",13
"Henry III, Reign of (Germany)",14
"Henry III, Reign of (Holy Roman Empire)",15
"Casimir I, Reign of (Poland)",16
"Edward, the Confessor, Reign of (Great Britain)",17
"Turkic Mongol Domination, Period of (Armenia)",18
"Middle High German Language, Period of",19
"Henry IV, Reign of (Germany)",20
"Henry IV, Reign of (Holy Roman Empire)",21
"Boleslaus II, Reign of (Poland)",22
"Philip I, Reign of (France)",23
"Sancho Ramírez, Reign of (Aragon)",24
"Alfonso VI, Reign of (Castile)",25
"William I, Reign of (Great Britain)",26
Norman Period (Great Britain),27
Medieval Period (Great Britain),28
Armenian Kingdom Period (Cilicia),29
"Alexius I Comnenus, Reign of (Byzantine Empire)",30
"William II, Rufus, Reign of (Great Britain)",31
"Pedro I, Reign of (Aragon)",32
Latin Kingdom Period (Jerusalem),33
"Henry I, Reign of (Great Britain)",34
"Middle Welsh Language, Period of",35
"Middle English Language, Period of",36
"Middle Irish Language, Period of",37
"Boleslaus III, Reign of (Poland)",38
"Sigurd Jorsalafari, Reign of (Norway)",39
"Alfonso I, Reign of (Aragon)",40
"Roger II, Reign of (Sicily)",41
"Henry V, Reign of (Germany)",42
"Henry V, Reign of (Holy Roman Empire)",43
"Louis VI, Reign of (France)",44
"Urraca, Reign of (Castile)",45
"István II, Reign of (Hungary)",46
"John II Comnenus, Reign of (Byzantine Empire)",47
"Lothar III, Reign of (Germany)",48
"Lothar III, Reign of (Holy Roman Empire)",49
"Alfonso VII, Reign of (Castile)",50
Schism Period (Papacy),51
"Stephen, Reign of (Great Britain)",52
"Louis VII, Reign of (France)",53
"Vladislaus II, Reign of (Poland)",54
"Conrad III, Reign of (Germany)",55
"Conrad III, Reign of (Holy Roman Empire)",56
"Hohenstaufen, Reign of (Germany)",57
"Hohenstaufen, Reign of (Holy Roman Empire)",58
"Alfonso Henriques, Reign of (Portugal)",59
"Manuel I Comnenus, Reign of (Byzantine Empire)",60
"Frederick I, Reign of (Germany)",61
"Frederick I, Reign of (Holy Roman Empire)",62
"Malcolm IV, Reign of (Scotland)",63
"William I, Reign of (Sicily)",64
"Henry II, Reign of (Great Britain)",65
Angevin Period (Great Britain),66
"Plantagenets, Reign of (Great Britain)",67
"Sancho III, Reign of (Castile)",68
"Alfonso VIII, Reign of (Castile)",69
"Alfonso II, Reign of (Aragon)",70
"Hadrian, Reign of (Rome)",71
"Saladin, Reign of (Egypt)",72
"Mieszko III, Reign of (Poland)",73
"Sverre, Reign of (Norway)",74
"Philip II Augustus, Reign of (France)",75
"Angeli, Reign of (Byzantine Empire)",76
"Sancho I, Reign of (Portugal)",77
Kamakura Period (Japan),78
Kamakura-Momoyama Periods (Japan),79
"Middle Japanese Language, Period of",80
"Ivan Asen I, Reign of (Bulgaria)",81
"Richard I, Reign of (Great Britain)",82
"Henry VI, Reign of (Germany)",83
"Henry VI, Reign of (Holy Roman Empire)",84
"Alexius III Angelus, Reign of (Byzantine Empire)",85
"Petŭr II, Reign of (Bulgaria)",86
"Philip of Swabia, Reign of (Germany)",87
"Otto IV, Reign of (Holy Roman Empire)",88
"Papal Interdict, Period of (France)",89
"John, Reign of (Great Britain)",90
"Middle Chinese Language, Period of",91
"Despotate, Reign of (Epirus)",92
"Venetian Rule, Period under (Crete)",93
"Venetian Settlements, Period of (Peloponnesus)",94
"Duchy, Reign of (Athens)",95
"Otto IV, Reign of (Germany)",96
"Alfonso II, Reign of (Portugal)",97
"James I, Reign of (Aragon)",98
"Henry I, Reign of (Castile)",99
"Alexander II, Reign of (Scotland)",100
"Frederick II, Reign of (Germany)",101
"Frederick II, Reign of (Holy Roman Empire)",102
"Henry III, Reign of (Great Britain)",103
"Ferdinand III, Reign of (Castile)",104
"Haakon Gamli, Reign of (Norway)",105
"Louis VIII, Reign of (France)",106
"Sancho II, Reign of (Portugal)",107
"Louis IX, Reign of (France)",108
"Alfonso III, Reign of (Portugal)",109
"Alexander III, Reign of (Scotland)",110
"Alfonso X, Reign of (Castile)",111
Interregnum Period (Germany),112
"Interregnum, Period of (Holy Roman Empire)",113
"Erik Glipping, Reign of (Denmark)",114
