subject,count
"57th Street Art Fair (Chicago, Illinois)",1
Abercrombie's Ticonderoga Campaign (New York : 1758),2
Abscam Bribery Scandal (1980),3
"Abu Ageila, Battle of (Abū ʻUjaylah, Egypt : 1956)",4
"Abu Ageila, Battle of (Abū ʻUjaylah, Egypt : 1967)",5
Accra Sports Stadium Disaster (Ghana : 2001),6
"Adrianople, Battle of (Edirne, Turkey : 378)",7
"Advanced Seminar on Maya Hieroglyphic Writing (Austin, Texas)",8
"African Film Festival (Columbia College (Chicago, Illinois))",9
Agricultural Outlook Conference (United States),10
Al-Aqsa Intifada (2000-),11
Alaska Earthquake (Alaska : 1964),12
Albanian-Venetian War (1447-1448),13
Albany County Fair (Wyoming),14
"Alcazarquivir, Battle of (Qaṣr al-Kabīr, Larache, Morocco : 1578)",15
"Almansa, Battle of (Albacete, Spain : 1707)",16
"Alton, Battle of (Hampshire, England : 1643)",17
American Civil War (1861-1865),18
American Revolution Bicentennial (1976),19
American Royal Live Stock Show (1901-approximately 1937),20
Amherst's Expedition against Ticonderoga and Crown Point (New York : 1759),21
"Anglo-Burmese War, 1st (1824-1826)",22
"Anglo-Burmese War, 2nd (1852)",23
"Anglo-Burmese War, 3rd (1885)",24
Anglo-Dutch War (1664-1667),25
Anglo-Dutch War (1780-1784),26
Anglo-French War (1755-1763),27
Anglo-French War (1778-1783),28
Anglo-French War (1793-1802),29
Anglo-Spanish War (1739-1748),30
Annual Commonwealth Conference,31
Annual History of Medicine Days (Conference),32
Annual Symposium on Optical Materials for High Power Lasers,33
Antioquia Revolution (Colombia : 1840-1841),34
"Anual, Battle of (Annoual, Morocco : 1921)",35
"Anzio, Battle of (Italy : 1944)",36
"Aquae Sextiae, Battle of (Aix-en-Provence, France : 102 B.C.)",37
Archaeological Exploration of Sardis (Program),38
Argentine-Brazilian War (1825-1828),39
Armada (1588),40
Armenian massacres (1894-1896),41
Armenian massacres (1909),42
Armenian massacres (1915-1923),43
Arun Valley Wildlife Expedition,44
"Asculum, Battle of (Ascoli Satriano, Italy : 279 B.C.)",45
Ashanti War (1873-1874),46
"Asian Art in London (Festival : London, England)",47
Asian Studies on the Pacific Coast Conference,48
Astrolabe Expedition (1826-1829),49
"Aughrim, Battle of (Galway, Ireland : 1691)",50
"Austrian Succession, War of (1740-1748)",51
Austro-Italian War (1866),52
Austro-Prussian War (1866),53
Austro-Sardinian War (1848-1849),54
Austro-Turkish War (1661-1664),55
Austro-Turkish War (1683-1699),56
"Auto-Lite (Firm) Strike (Toledo, Ohio : 1934)",57
"Autumn Trails (Winnsboro, Texas)",58
"Ayacucho, Battle of (Peru : 1824)",59
"Azua, Battle of (Azua de Compostela, Dominican Republic : 1844)",60
Baden Disputation (Switzerland : 1526),61
"Badr, Battle of (Badr Ḥunayn, Saudi Arabia : 624)",62
"Bali Bombings (Kuta, Bali, Indonesia : 2002)",63
Bar Kokhba Rebellion (132-135),64
Barcelona Disputation (Spain : 1263),65
"Barnet, Battle of (London, England : 1471)",66
Belgian Expedition to China (Projected : 1900),67
"Belmont, Battle of (Missouri : 1861)",68
"Beresteczko, Battle of (Ukraine : 1651)",69
Berlin Wall (Germany : 1961-1989),70
Berlingske tidene (Copenhagen : 1977),71
"Berlingske tidene, Copenhagen Strike (1977)",72
Berner Synodus (1532),73
Besançon Mission (France : 1825),74
Bhopal Union Carbide Plant Disaster (India : 1984),75
"Bible Conference (Winona Lake, Indiana)",76
"Bienále ilustrácií, Bratislava",77
"Biennale d'art contemporain (Brest, France)",78
"Big Blue, Battle of the (Missouri : 1864)",79
Bilbao Regatta (Spain : 1907),80
Biscuit Fire (2002),81
Black Hawk War (1832),82
"Black Hole Incident (Kolkata, India : 1756)",83
