subject,count
Fram Expedition (1893-1896),1
Industrial Minerals International Congress,2
"Message to Man International Documentary, Short, and Animated Film Festival",3
Michael Sars North Atlantic Deep-sea Expedition (1910),4
"Ostorozhno, religii︠a︡!  (Exhibition)",5
"Vision 21 Education Symposium (1994 :Saratoga Springs, N.Y.)",6
1872 Cup  (Rugby),7
"1905 Kodak Competition (Rochester, N.Y.)",8
24 Heures du Mans  (Automobile race),9
46664  (Concerts),10
"57th Street Art Fair  (Chicago, Ill.)",11
651 World Series  (Festival),12
82 Sŏul Kukche Muyŏk Pangnamhoe,13
85 Naruto Pia Wārudo Fesutibaru (1985 :Naruto Sōgō Undō Kōen),14
88 Hida Takayamahaku (1988).,15
"92 Global Forum (1992 :Rio de Janeiro, Brazil)",16
"A guitarra limpia  (Concert series : Havana, Cuba)",17
Aaronson Masters,18
AAS Goddard Memorial Symposium,19
AAS Meeting,20
AAU Tournament  (Basketball),21
ABA's Techshow,22
Abduction Study Conference (1992 :Massachusetts Institute of Technology),23
Abinger Himalayan Expedition (1956),24
Abitare il tempo,25
Absolut-L.A. International Biennial Art Invitational,26
Abyssinian Expedition (1867-1868),27
Academic Workshop on Democracy in the Americas: Approaching the Year 2000 (1994 :Helen Kellogg Institute for International Studies),28
Accountancy Age Closed  (Chess tournament),29
Accountancy Age Masters,30
"Accounting and Financial Management for Projects Workshop (1985 :N'Djamena, Chad)",31
Achaemenid History Workshop,32
"Acid Aerosol Measurement Intercomparison Workshop (1991 :Research Triangle Park, N.C.)",33
ACM Symposium on Principles of Programming Languages,34
ACM Symposium on Theory of Computing,35
ACM-SIGIR International Conference on Information Storage and Retrieval,36
ACM-SIGMOD International Conference on Management of Data,37
ACP-EU Joint Assembly,38
ACSA/Otis Elevator International Student Design Competition,39
ACSM-ASP Fall Convention,40
"Action Seminar on Acid Precipitation (1979 :Toronto, Ont.)",41
Acustica  (Symposium),42
ACVS Veterinary Symposium,43
Addis Chamber International Trade Fair,44
"Addison County Fair & Field Days  (Middlebury, Vt.)",45
Adelaide Biennial of Australian Art,46
