subject,count
"""Message to Man"" International Documentary, Short, and Animated Film Festival",1
"57th Street Art Fair (Chicago, Illinois)",2
Abercrombie's Ticonderoga Campaign (New York : 1758),3
Abscam Bribery Scandal (1980),4
"Abu Ageila, Battle of (Abū ʻUjaylah, Egypt : 1956)",5
"Abu Ageila, Battle of (Abū ʻUjaylah, Egypt : 1967)",6
Accra Sports Stadium Disaster (Ghana : 2001),7
"Adrianople, Battle of (Edirne, Turkey : 378)",8
"Advanced Seminar on Maya Hieroglyphic Writing (Austin, Texas)",9
"African Film Festival (Columbia College (Chicago, Illinois))",10
Agricultural Outlook Conference (United States),11
Al-Aqsa Intifada (2000-),12
Alaska Earthquake (Alaska : 1964),13
Albanian-Venetian War (1447-1448),14
Albany County Fair (Wyoming),15
"Alcazarquivir, Battle of (Qaṣr al-Kabīr, Larache, Morocco : 1578)",16
"Almansa, Battle of (Albacete, Spain : 1707)",17
"Alton, Battle of (Hampshire, England : 1643)",18
American Civil War (1861-1865),19
American Revolution Bicentennial (1976),20
American Revolution Bicentennial (1976),21
American Royal Live Stock Show (1901-approximately 1937),22
Amherst's Expedition against Ticonderoga and Crown Point (New York : 1759),23
"Anglo-Burmese War, 1st (1824-1826)",24
"Anglo-Burmese War, 2nd (1852)",25
"Anglo-Burmese War, 3rd (1885)",26
Anglo-Dutch War (1664-1667),27
Anglo-Dutch War (1780-1784),28
Anglo-French War (1755-1763),29
Anglo-French War (1778-1783),30
Anglo-French War (1793-1802),31
Anglo-Spanish War (1739-1748),32
Annual Commonwealth Conference,33
Annual History of Medicine Days (Conference),34
Annual Symposium on Optical Materials for High Power Lasers,35
Antioquia Revolution (Colombia : 1840-1841),36
"Anual, Battle of (Annoual, Morocco : 1921)",37
"Anzio, Battle of (Italy : 1944)",38
"Aquae Sextiae, Battle of (Aix-en-Provence, France : 102 B.C.)",39
Archaeological Exploration of Sardis (Program),40
Argentine-Brazilian War (1825-1828),41
Armada (1588),42
Armenian massacres (1894-1896),43
Armenian massacres (1909),44
Armenian massacres (1915-1923),45
Arun Valley Wildlife Expedition,46
"Asculum, Battle of (Ascoli Satriano, Italy : 279 B.C.)",47
Ashanti War (1873-1874),48
"Asian Art in London (Festival : London, England)",49
Asian Studies on the Pacific Coast Conference,50
Astrolabe Expedition (1826-1829),51
"Aughrim, Battle of (Galway, Ireland : 1691)",52
"Austrian Succession, War of (1740-1748)",53
Austro-Italian War (1866),54
Austro-Prussian War (1866),55
Austro-Sardinian War (1848-1849),56
Austro-Turkish War (1661-1664),57
Austro-Turkish War (1683-1699),58
"Auto-Lite (Firm) Strike (Toledo, Ohio : 1934)",59
"Autumn Trails (Winnsboro, Texas)",60
"Ayacucho, Battle of (Peru : 1824)",61
"Azua, Battle of (Azua de Compostela, Dominican Republic : 1844)",62
Baden Disputation (Switzerland : 1526),63
"Badr, Battle of (Badr Ḥunayn, Saudi Arabia : 624)",64
"Bali Bombings (Kuta, Bali, Indonesia : 2002)",65
Bar Kokhba Rebellion (132-135),66
Barcelona Disputation (Spain : 1263),67
"Barnet, Battle of (London, England : 1471)",68
Belgian Expedition to China (Projected : 1900),69
"Belmont, Battle of (Missouri : 1861)",70
"Beresteczko, Battle of (Ukraine : 1651)",71
Berlin Wall (Germany : 1961-1989),72
Berlin Wall (Germany : 1961-1989),73
Berlingske tidene (Copenhagen : 1977),74
"Berlingske tidene, Copenhagen Strike (1977)",75
Berner Synodus (1532),76
Besançon Mission (France : 1825),77
Bhopal Union Carbide Plant Disaster (India : 1984),78
Bhopal Union Carbide Plant Disaster (India : 1984),79
"Bible Conference (Winona Lake, Indiana)",80
"Bienále ilustrácií, Bratislava",81
"Biennale d'art contemporain (Brest, France)",82
"Big Blue, Battle of the (Missouri : 1864)",83
Bilbao Regatta (Spain : 1907),84
Biscuit Fire (2002),85
Black Hawk War (1832),86
"Black Hole Incident (Kolkata, India : 1756)",87
"Blenheim, Battle of (Bavaria, Germany : 1704)",88
"Blenheim, Battle of (Blindheim, Bavaria, Germany : 1704)",89
"Blossomtime Festival (Benton Harbor and St. Joseph, Michigan)",90
"Blossomtime Festival (Benton Harbor, Michigan and St. Joseph, Michigan)",91
"Blue Springs, Battle of (Mosheim, Tennessee : 1863)",92
"Blue Springs, Battle of (Mosheim, Tennessee : 1864)",93
Bombay Riots (India : 1992-1993),94
"Bombay Riots (Mumbai, India : 1992-1993)",95
Bondelswarts Rebellion (Namibia : 1922),96
Bonite Expedition,97
"Borodino, Battle of (Mozhaĭskiĭ raĭon, Russia : 1812)",98
Boston Tea Party (Massachusetts : 1773),99
Boston Tea Party (Massachusetts : 1773),100
"Boyacá, Battle of (Boyacá, Colombia : 1819)",101
"Boyacá, Battle of (Colombia : 1819)",102
Bristol Bridge Massacre (England : 1793),103
British Antarctic Expedition (1898-1900),104
British Open (Golf tournament),105
"Brownstown, Battle of (Michigan : August 5, 1812)",106
Bruneval Raid (France : 1942),107
"Brzeziny, Battle of (Łódź, Poland : 1914)",108
"Bull Run, 1st Battle of (Virginia : 1861)",109
"Bumbershoot Festival (Seattle, Washington)",110
"Bunker Hill, Battle of (Boston, Massachusetts : 1775)",111
Burke and Wills Expedition (1860-1861),112
"Byczyna, Battle of (Opole, Poland : 1588)",113
"Callao, Battle of (Callao, Peru : 1866)",114
Cambodian-Vietnamese Conflict (1977-1991),115
Cambridge Anthropological Expedition to Torres Straits (1898),116
Cananea Consolidated Copper Co. Strike (1906),117
"Capitola Begonia Festival (Capitola, California)",118
Capitulation of Paris (France : 1814),119
Capitulation of Paris (France : 1815),120
"Caporetto, Battle of (Kobarid, Slovenia : 1917)",121
Capture of Sint Eustatius by the British (1781),122
"Carabobo, Battle of (Venezuela : 1821)",123
Cardiff Explosives Trial (Wales : 1983),124
Carlist War (Spain : 1873-1876)fast,125
"Castro, War of (1642-1644)",126
"Celaya, 1st Battle of (Guanajuato, Mexico : 1915)",127
"Celaya, 2nd Battle of (Guanajuato, Mexico : 1915)",128
Centennial Exhibition,129
Centralia Massacre (Washington : 1919),130
"Centre County Grange Fair (Centre Hall, Pennsylvania)",131
"Cer, Battle of (Serbia : 1914)",132
"Ceresole, Battle of (Ceresole Alba, Italy : 1544)",133
Chaco War (1932-1935),134
"Chaeronea, Battle of (Greece : 338 B.C.)",135
"Champagne, Battles of (France : 1914-1917)",136
"Champigny, Battle of (Champigny-sur-Marne, France : 1870)",137
"Chapultepec, Battle of (Mexico City, Mexico : 1847)",138
"Chengtu Incident (Chengdu, China : 1936)",139
Cherek Massacre (Russia : 1942),140
"Cheriton, Battle of (Hampshire, England : 1644)",141
"Chernobyl Nuclear Accident (Chornobylʹ, Ukraine : 1986)",142
Cherry Mine Disaster (Illinois : 1909),143
"Chestnut Hill, Battle of (Philadelphia, Pennsylvania : 1777)",144
Cheyenne Frontier Days (Celebration),145
Chinese reunification question (1949-),146
"Chipyong-ni, Battle of (Chipʻyŏng-ni, Korea : 1951)",147
"Chocim, Battle of (Khotyn, Ukraine : 1621)",148
"Chocim, Battle of (Khotyn, Ukraine : 1673)",149
"Cinco de Mayo, Battle of (Puebla, Mexico : 1862)",150
"Cinefest (Syracuse, N.Y.)",151
"Ciudad Juárez, Battle of (Mexico : 1911)",152
Civil War (Liberia : 1989-1996),153
Civil War (Sierra Leone : 1991-2002),154
"Clark's Mill, Battle of (Missouri : 1862)",155
"Clark's Mill, Battle of (Vera Cruz, Missouri : 1862)",156
Coal Strike (Great Britain : 1984-1985),157
Coeur d'Alene Miners' Strike (Idaho : 1899),158
"Colle, Battle of (Colle di Val d'Elsa, Italy : 1269)",159
Cologne Communist Trial (Germany : 1852),160
Colombia.Convención de Ocaña (1828),161
Columbus Quincentenary (1992-1993),162
Commonwealth Conference (Oregon),163
Conference of the Contracting Parties,164
Conference on Security and Cooperation in Europe,165
