subject,count
Aboriginal Australians,1
Absentee-Shawnee Tribe of Indians of Oklahoma,2
Adobe houses,3
Afghanistan,4
Africa,5
"Africa, East",6
Agricultural colonies,7
Airways,8
Alabama,9
Alaska,10
Albania,11
Alberta,12
"Alexander,",13
Algeria,14
All terrain vehicle trails,15
Alleys,16
Allied Military Government,17
Alluvial plains,18
Alps,19
Alum mines and mining,20
Alvar regions,21
Amenia and Sharon Land Company,22
America,23
American Samoa,24
Amusement parks,25
Andes,26
Andes Region,27
Andorra,28
Angola,29
Anguilla,30
Animal sanctuaries,31
Anoxic zones,32
Antarctic Ocean,33
Antarctica,34
Antigua and Barbuda,35
Antimony mines and mining,36
Antiquities,37
"Antiquities, Prehistoric",38
"Antram-Gray House (Providence, R.I.)",39
Appalachian Mountains,40
Appalachian Region,41
"Appling, Daniel,",42
Aquatic parks and reserves,43
Aquatic sports facilities,44
Aqueducts,45
Aquifers,46
Arabian Peninsula,47
Arabian Sea,48
Arabs,49
Arboretums,50
Archaeological parks,51
Archipelagoes,52
Arctic Ocean,53
Arctic Regions,54
Argentina,55
Arid regions,56
Arizona,57
Arkansas,58
Armenia,59
Armenia (Republic),60
Arroyos,61
Arsenals,62
Artesian basins,63
Artificial reefs,64
Aruba,65
Ashmore and Cartier Islands,66
Asia,67
Asteroids,68
Astronautics,69
Astronomy,70
Athletic fields,71
Atlantic Ocean,72
Atlas Mountains,73
Australia,74
Austria,75
Azerbaijan,76
Azores,77
B stars,78
Badlands,79
Bahamas,80
Bahrain,81
Balkan Peninsula,82
Ballinaglera Parish,83
Baltimore (Md.).,84
Bangladesh,85
"Bangor International Airport (Bangor, Me.)",86
Banks (Oceanography),87
Bannock Tribe,88
Barbados,89
Barite mines and mining,90
Bars (Geomorphology),91
Basins (Geology),92
Basketball camps,93
"Bastione di Saint Remy (Cagliari, Italy)",94
Bathing beaches,95
Batholiths,96
Battlefields,97
Bayous,98
Bays,99
Be stars,100
Beaches,101
Bed and breakfast accommodations,102
Beds (Stratigraphy),103
Belarus,104
Belgium,105
Belize,106
Beltways,107
Benches (Geomorphology),108
Benin,109
Bermuda Islands,110
Bhutan,111
Bicycle trails,112
Bioreactor landfills,113
Biosphere reserves,114
Bird refuges,115
Birding sites,116
Bitumen,117
Black holes (Astronomy),118
Black Sea,119
Blackfeet Band of Dakota or Sioux Indians,120
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,121
Boat ramps,122
Bocages,123
Bogs,124
Bolivia,125
Bombing and gunnery ranges,126
Bonaire,127
Bonanza farms,128
Borderlands,129
Bosnia and Herzegovina,130
Botanical gardens,131
Botswana,132
Boulders,133
Boundaries,134
Bouvet Island,135
Brazil,136
Bridges,137
"Bridges, Roman",138
British Columbia,139
British Indian Ocean Territory,140
British Virgin Islands,141
Brochs,142
Brunei,143
Buddhist cave temples,144
Buddhist shrines,145
Buddhist temples,146
Buffalo jump,147
Building sites,148
Bulgaria,149
Bunkers (Fortification),150
Burkina Faso,151
Burma,152
Burundi,153
Business parks,154
Byzantine Empire,155
Cabinet officers,156
Cabo Verde,157
Calderas,158
California,159
Cambodia,160
Cameroon,161
Camino de Santiago de Compostela,162
"Camp sites, facilities, etc.",163
Camps,164
Camps for girls,165
Camps for terminally ill children,166
Canada,167
Canada.,168
Canal aqueducts,169
Canals,170
"Canals, Interoceanic",171
Canary Islands,172
Canyons,173
Capes (Coasts),174
Capitals (Cities),175
Caribbean Area,176
Caribbean Sea,177
Caroline Islands,178
"Castillo de San Marcos (Saint Augustine, Fla.)",179
"Castle Garden (New York, N.Y.)",180
Castles,181
Catacombs,182
Cathedral closes,183
Catholic Church.,184
Cattle trails,185
Caucasus,186
Causeways,187
Cave monasteries,188
Cave temples,189
Cave theaters,190
Caves,191
Cayman Islands,192
Cemeteries,193
Census districts,194
Centaur objects,195
Central Africa,196
Central African Republic,197
Central America,198
Central Asia,199
Central Europe,200
Cerrados,201
Chad,202
Chalk mines and mining,203
Channels (Hydraulic engineering),204
"Château de Versailles (Versailles, France)",205
Chickasaw Nation,206
"Chickasaw Nation, Oklahoma",207
Children's gardens,208
Chile,209
China,210
Chippewa Tribe,211
Choctaw Nation,212
Choctaw Nation of Oklahoma,213
Christmas Island,214
Church camps,215
Church gardens,216
Church lands,217
Cirques (Glacial landforms),218
Cisterns,219
Cities and towns,220
City blocks,221
Clare (Ireland).,222
Clay,223
Cliff dwellings,224
Cliff-dwellings,225
Cliffs,226
Coal,227
Coal basins,228
Coal mines  and mining,229
Coal mines and mining,230
Coalfields,231
Coastal plains,232
Coasts,233
Cobalt mines and mining,234
Cocos (Keeling) Islands,235
Coffee plantations,236
Cold regions,237
Collective farms,238
College facilities,239
Colombia,240
Colonies,241
Colorado,242
Comarcas,243
Comets,244
Commons,245
Communal rangelands,246
Communist countries,247
Community gardens,248
Comoros,249
Complexes (Stratigraphy),250
"Confederated Bands of Peoria, Piankeshaw, Kaskaskia, and Wea Indians",251
Congo (Brazzaville),252
Congo (Democratic Republic),253
Congo River,254
Connecticut,255
Constellations,256
Constructed wetlands,257
Continental margins,258
Continental shelf,259
Continental slopes,260
Continents,261
Convention facilities,262
Cook Islands,263
Cooling ponds,264
Copper mines and mining,265
Coral reefs and islands,266
Coral Sea Islands,267
Costa Rica,268
Côte d'Ivoire,269
Coulees,270
Coves (Valleys),271
Cratons,272
Croatia,273
Cromlechs,274
Crusades,275
Crusades (Fourth),276
Cryptoexplosion structures,277
Cuba,278
Cuestas,279
Cul-de-sac streets,280
Cultural parks,281
Curaçao,282
Cyprus,283
