subject,count
1872 Cup (Rugby),1
"1905 Kodak Competition(Rochester, N.Y.)",2
24 Heures du Mans (Automobile race),3
46664 (Concerts),4
"57th Street Art Fair (Chicago, Ill.)",5
651 World Series (Festival),6
82 Sŏul Kukche Muyŏk Pangnamhoe,7
85 Naruto Pia Wārudo Fesutibaru(1985 :Naruto Sōgō Undō Kōen),8
88 Hida Takayamahaku(1988).,9
"92 Global Forum(1992 :Rio de Janeiro, Brazil)",10
"A guitarra limpia (Concert series : Havana, Cuba)",11
Aaronson Masters,12
AAS Goddard Memorial Symposium,13
AAS Meeting,14
AAU Tournament (Basketball),15
ABA's Techshow,16
Abduction Study Conference(1992 :Massachusetts Institute of Technology),17
Abinger Himalayan Expedition(1956),18
Abitare il tempo,19
Absolut-L.A. International Biennial Art Invitational,20
Abyssinian Expedition(1867-1868),21
Academic Workshop on Democracy in the Americas: Approaching the Year 2000(1994 :Helen Kellogg Institute for International Studies),22
Accountancy Age Closed (Chess tournament),23
Accountancy Age Masters,24
"Accounting and Financial Management for Projects Workshop(1985 :N'Djamena, Chad)",25
Achaemenid History Workshop,26
"Acid Aerosol Measurement Intercomparison Workshop(1991 :Research Triangle Park, N.C.)",27
ACM Symposium on Principles of Programming Languages,28
ACM Symposium on Theory of Computing,29
ACM-SIGIR International Conference on Information Storage and Retrieval,30
ACM-SIGMOD International Conference on Management of Data,31
ACP-EU Joint Assembly,32
ACSA/Otis Elevator International Student Design Competition,33
ACSM-ASP Fall Convention,34
"Action Seminar on Acid Precipitation(1979 :Toronto, Ont.)",35
Acustica (Symposium),36
ACVS Veterinary Symposium,37
Addis Chamber International Trade Fair,38
"Addison County Fair & Field Days (Middlebury, Vt.)",39
Adelaide Biennial of Australian Art,40
Adelaide Festival,41
Administrative Radio Conference,42
Adsteam-Lidums International Chess Tournament,43
Adult Education Institute,44
Adult Education Research Conference,45
"Adult Literacy Software Development Conference(1994 :Reston, Va.)",46
Adunanza degli scienziati italiani,47
"Advanced Seminar on Maya Hieroglyphic Writing (Austin, Tex.)",48
Advanced Transportation Institute,49
Adventure and Beagle Expedition(1826-1830),50
"Adwa Victory Centenary Conference(1996 :East Lansing, Michigan)",51
Africa Cup of Nations,52
Africa romana (Conference),53
Africa Telecom,54
"Africa95(1995 :London, England, etc.)",55
African Development Forum,56
"African Film Festival (Columbia College (Chicago, Ill.))",57
African Ministerial Conference on the Environment,58
African Rainbow Expedition(1985),59
African Regional Conference (C.P.A. African Region),60
African Regional Conference on Tourism and Economic Development,61
African Regional Conference on Women,62
"African Regional Seminar for Advanced Training in Systematic Curriculum Development and Evaluation(1975 :Achimota, Ghana)",63
African Regional Symposium on Small Holder Irrigation(1984 :University of Zimbabwe),64
"African Seminar on the Changing and Contemporary Role of Women in Society(1975 :Addis Ababa, Ethiopia)",65
African Summit Conference,66
African Synod,67
African-African American Summit,68
African-Scandinavian Writers' Conference,69
Afro-Asian Banking School,70
Afro-Asian Peoples' Solidarity Conference,71
Afro-Asian Writers' Conference,72
"Afro-Scandinavian Youth Congress(1962 :Oslo, Norway)",73
AFSC Management Conference,74
Agama Silpa Vyasa Bharata Folklore Festival,75
Agemo Festival,76
Agnes-Bernauer-Festspiele,77
Agra Summit(2001),78
Agricultural and Food Policy Systems Information Workshop,79
Agricultural Engineering Conference,80
Agricultural Outlook Conference (U.S.),81
Agriculture and Food Fair of the Virgin Islands,82
AIA/ACSA Council on Architectural Research Otis Elevator International Student Design Competition,83
Aichi Triennale,84
AIDS Vaccine International Conference,85
Airborne Arctic Stratospheric Expedition(1989),86
Akashvani Sangeet Sammelan,87
Akhila Bhāratīya Bhojapurī Sāhitya Sammelana,88
Akhila Bhāratīya Marāṭhī Sāhitya Sammelana,89
Akt︠s︡ionernoe obshchestvo Moskovskiĭ shelk,90
Akuapem Odwira Festival,91
Āl Inḍiyā Muḥammadan Ejūkeshnal Kānfarans,92
"Āl Inḍiyā Mushāʻirah(1932 :Gorakhpur, India)",93
ALA Midwinter Meeting,94
Alabama Shakespeare Festival,95
Alabama State Fair,96
"Alabama White House Conference on Aging(1981 :Montgomery, Ala.)",97
Alabama-expeditionen til Grønlands nordøstkyst(1909-1912),98
Alai-Pamir Expedition(1928),99
Alaska AIDS Vaccine Ride,100
"Alaska at War Symposium(1993 :Anchorage, Alaska)",101
Alaska Greenhouse & Nursery Conference,102
"Alaska-Yukon-Pacific Exposition(1909 :Seattle, Wash.)",103
"Albany Congress(1754 :Albany, N.Y.)",104
Albany County Fair (Wyo.),105
Albemarle Harvest Wine Festival and Bacchanalian Feast,106
Albuquerque International Balloon Fiesta (1976-1990),107
Albuquerque International Balloon Fiesta (2002- ),108
Aldeburgh Festival of Music and the Arts,109
Alexander Scriabin Piano Competition,110
Alexandra Blossom Festival,111
"Algeciras Conference(1906 :Algeciras, Spain)",112
Algonquian Conference,113
All Africa Games,114
All Alaska Juried Art Exhibition,115
"All American Friends Conference(1929 :Oskaloosa, Iowa)",116
All American Indian Days,117
All Anglophone Conference,118
All China Students Congress,119
All India Adult Education Conference,120
All India Conference of Dravidian Linguists,121
"All India Conference of Librarians(1918 :Lahore, Pakistan)",122
"All India Convention of People's Science Movements(1978 :Trivandrum, India)",123
All India Dogri Writers Conference,124
All India Library Conference,125
All India Muslim Conference,126
All India Writers' Conference,127
All Karnataka Sanskrit Poets Conference,128
All Nigeria Judges Conference,129
All Pakistan Economic Conference,130
All Pakistan Science Conference,131
All-African Cultural Festival,132
All-African People's Conference,133
All-Christian Peace Assembly,134
"Allgemeine Deutsche Ausstellung auf dem Gebiete der Hygiene und des Rettungswesens(1882 :Berlin, Germany)",135
Allgemeine Deutsche Kunstausstellung,136
Allgemeine Österreichische Gewerbsprodukten-Ausstellung,137
Allgemeiner Kongress der Arbeiter- und Soldatenräte Deutschlands,138
All-India Conference of Linguists,139
All-India Music Conference,140
All-India Oriental Conference,141
"All-Ngwa Cultural Festival(1981 :Aba, Nigeria)",142
All-Russian Tournament of Masters,143
All-Star Baseball Game,144
"Altamont Festival(1969 :Tracy, Calif.)",145
"Alternatives Canada, a Canada West Conference on Confederation(1978 :Banff, Alta.)",146
Alternatives Festival,147
Altkatholiken-Congress,148
Altogether Different (Festival),149
Alukon Damtoernooi,150
Alumitech,151
Alva Gymnastic Games,152
Amateurtheater-Festival Recklinghausen,153
AMC 10 (Competition),154
AMC 12 (Competition),155
AMC MINExpo International,156
Amenia Conference(1933),157
American Artists' Congress,158
American Checker Federation World Championship Title Match,159
American Chess Congress,160
American College Theatre Festival,161
American Congress of Liberal Religious Societies,162
American Convention for Promoting the Abolition of Slavery and Improving the Condition of the African Race,163
American Film Festival,164
American Folk Song Festival,165
American Forest Congress,166
"American Friends' Peace Conference(1901 :Philadelphia, Pa.)",167
American High School Mathematics Examination (Competition),168
American Indian Artists Exhibition,169
American Indian Ethnohistoric Conference,170
American Indian Exposition,171
American International Toy Fair,172
American Invitational Mathematics Examination (Competition),173
American Issues Forum,174
American Jewish Tercentenary(1954),175
American Karakoram Expedition,176
American Land and Irrigation Exposition,177
American Medical Research Expedition to Mt. Everest(1981),178
American Merchant Marine and Maritime Industry Conference,179
American Merchant Marine Conference,180
American Mount Everest Expedition(1963),181
American Music Festival,182
"American National Exhibition(1959 :Moscow, Russia)",183
American Peace Congress,184
American Philatelic Congress,185
American Photography Institute National Graduate Seminar,186
American Polish Typhus Relief Expedition(1919-1921),187
American Power Conference,188
American Road Race of Champions,189
American Royal Live Stock & Horse Show,190
American Royal Live Stock Show (1901-approximately 1937),191
American Royal Rodeo,192
American Scientific Congress,193
"American Textile Machinery Exhibition--International(1982 :Greenville, S.C.)",194
American Toy Fair,195
American Water Resources Conference,196
American Wine & Food Festival,197
American Women's Expedition to Annapurna I(1st :1978),198
American Women's Expedition to Antarctica(1992-1993),199
American Women's Expedition to Dhaulagiri I(1980),200
American Youth Congress,201
Americas Conference on Information Systems,202
America's Cup,203
Americas Social Forum,204
Americas Telecom,205
"AmeriFlora '92(1992 :Columbus, Ohio)",206
Ames Moot Court Competition,207
Ampliado Nacional de Amas de Casa Mineras,208
"Amsterdam 2000(2000 :Amsterdam, Netherlands)",209
Amurskai︠a︡ ėkspedit︠s︡īi︠a︡(1910),210
Andean Summit Meeting,211
Anglican Ecumenical Consultation(1987 :Emmaus Retreat Centre),212
Anglican Evangelical Assembly,213
"Anglican International Conference on Spiritual Renewal(1978 :Canterbury, England)",214
Anglo-American Conference of Historians,215
"Anglo-American Exposition(1914 :London, England)",216
Anglo-American Polar Expedition(1906-1908),217
Anglo-American Seminar on the Teaching of English(1966 :Dartmouth College),218
Anglo-Catholic Congress,219
Ann Arbor Blues Festival,220
Ann Arbor May Festival,221
Annual Aspen Institute Conference on Telecommunications Policy,222
Annual Biology Colloquium,223
Annual Commonwealth Conference,224
"Annual Conference for the Prevention of Grain Rust(Minneapolis, Minn.)",225
Annual Conference on Logic and Reasoning,226
Annual Conference on the Caribbean,227
Annual Exhibition of American Paintings and Sculpture,228
Annual History of Medicine Days (Conference)(University of Calgary),229
Annual Homelessness Marathon,230
Annual New Mexico Water Conference,231
Annual Reciprocal Meat Conference,232
Annual Symposium on Optical Materials for High Power Lasers,233
